0,1,3,4,5,10,12,20,21,22,23,25,33,34,Plus,Minus,Plus/Minus,# Possessions,,,
x,x,,x,,x,x,,x,,,,x,,12,0,12,17,,,
,x,,x,,,,x,x,x,x,,,x,2,0,2,4,,,
,,,,,,,x,,x,x,x,,x,0,0,0,4,,,
x,,,,,x,x,,x,,,,x,,7,10,-3,9,,,
,,,,,,,x,x,x,x,x,,,3,0,3,1,,,
,x,,,,,,x,,x,x,x,,,2,2,0,8,,,
,x,,,,,,x,,x,x,,,x,0,0,0,1,,,
,,,,,,x,x,,x,x,,,x,6,0,6,8,,,
,,,,,x,x,x,,,x,,,x,5,4,1,5,,,
x,,,,,x,x,,x,,,x,,x,10,0,10,8,,,
,,,,,,x,,x,x,,x,x,,6,0,6,10,,,
,,,,,x,,,x,x,x,,x,,0,1,-1,5,,,
x,x,,,,,,x,x,,x,,,,1,0,1,3,,,
x,,,,,,x,x,x,,x,,,,7,0,7,8,,,
x,,,,,x,x,,x,,,,x,,9,3,6,10,,, 
,x,,,,,,x,x,x,x,,,,3,0,3,4,,,
,,,,,,,x,,x,x,,x,x,10,4,6,13,,,
x,x,,,,x,x,,,,,x,,,5,4,1,7,,,
x,x,,,,,x,,x,,,x,,x,0,0,0,7,,,
x,,,,,,x,,x,,,x,x,,2,5,-3,4,,,
,,,,,,,x,,x,x,,,x,2,6,-4,10,,,
x,,,,,x,x,,,,,x,x,,8,1,7,9,,,
x,,,,,x,x,,,x,,x,,,0,0,0,2,,,
,,,,,,,x,x,x,x,,,x,2,2,0,6,,,
,x,,,,,,x,x,x,,,,x,1,1,0,3,,,
,x,,,,,,x,,x,,,x,x,7,2,5,8,,,
,x,,,,,,x,x,,,x,,x,2,2,0,2,,,
,,,,,x,x,x,x,,,,x,,8,2,6,11,,,
,,,,,,x,x,x,,x,x,,,1,5,-4,6,,,
,,,,,,x,,,x,x,x,,x,0,2,-2,2,,,
,,,,,,,,x,x,x,x,,x,0,2,-2,3,,,
,,,,,x,,,x,x,x,,x,,5,0,5,3,,,
,,,,,x,x,x,x,,,,x,,5,2,3,5,,,
,,,,,,x,,x,x,,x,x,,8,3,5,10,,,
,,,,,x,,x,,x,x,,x,,2,7,-5,7,,,
,,,,,x,x,x,x,,,,,x,4,4,0,6,,,
,,,,,x,x,x,x,,,,x,,8,6,2,10,,,
,,,,,,x,,,x,x,x,x,,10,0,10,12,,,
,,,,,x,x,x,x,,,,x,,6,4,2,9,,,
,,,,,x,x,x,,x,x,,,,2,1,1,2,,,
,,,,,x,x,,,x,x,,,x,4,3,1,5,,,
,,,,,x,,,x,x,x,,,x,0,0,0,3,,,
,,,,,,,,x,x,x,x,,x,7,3,4,11,,,
,,,,,,x,x,x,,,x,x,,0,5,-5,5,,,
,,,,,x,x,x,x,,,,x,,2,0,2,6,,,
,,,,,x,x,x,x,x,,,,,0,2,-2,1,,,
,,,,,,x,,x,x,x,,x,,5,4,1,5,,,
,,,,,,x,x,x,,x,,x,,8,4,4,9,,,
,x,,,,,,,,x,x,x,,x,11,7,4,18,,,
x,,,,,x,x,,x,,,,x,,0,2,-2,5,,,
x,,,,,x,,,x,x,x,,,,0,2,-2,5,,,
,,,,,,x,x,,x,,,x,x,0,0,0,3,,,
,,,,,,x,x,,,x,,x,x,4,5,-1,6,,,
x,,,,,x,x,,,,x,,x,,3,0,3,2,,,
x,,,,,x,,,x,,x,,x,,4,0,4,3,,,
x,,,,,x,x,x,x,,,,,,5,1,4,4,,,
x,,,,,x,,x,x,,,,,x,0,1,-1,3,,,
x,,,,,,x,,,x,x,,,x,4,6,-2,8,,,
,,,,,,x,,,x,x,,x,x,5,5,0,6,,,
,,,,,x,x,,x,x,,,x,,0,2,-2,2,,,
,,,,,x,,,x,x,x,,x,,4,2,2,5,,,
x,,,,,,,,x,x,x,,x,,3,2,1,4,,,
x,,,,,,x,,x,,x,,x,,8,5,3,9,,,
,,,,,x,x,x,x,,,,x,,0,1,-1,3,,,
x,,,,,,x,,x,,x,,x,,0,0,0,2,,,
x,,,,,,x,,x,,x,,,x,0,2,-2,1,,,
x,,,,,x,x,,,,x,,,x,2,0,2,4,,,
x,,,,,x,x,,x,x,,,,,2,2,0,4,,,
,,,,,,x,,x,x,x,,x,,0,2,-2,3,,,
x,,,,,x,x,,x,,,,x,,4,8,-4,10,,,
x,,,,,x,x,,,,x,,x,,0,2,-2,5,,,
,x,,,,,,,x,x,x,,,x,2,4,-2,5,,,
,,,,,x,x,x,,,x,,x,,0,0,0,3,,,
x,,,,,,x,,x,,x,,x,,2,3,-1,4,,,
,,,,,x,,x,x,x,x,,,,5,5,0,8,,,
x,,,,,,x,,,x,,,x,x,5,7,-2,8,,,
,,,,,,x,,x,x,x,,x,,6,10,-4,9,,,
x,,,,,,x,,x,,x,,x,,15,4,11,15,,,
x,,,,,x,x,,x,,,,x,,15,10,5,25,,,
x,,,,,x,x,,x,,,,x,,0,0,0,2,,,
x,,,,,x,x,,x,,,,x,,6,3,3,10,,,
x,,,,,x,,,x,,x,,x,,15,4,11,15,,,
,,,,,,x,,,x,x,x,,x,2,4,-2,6,,,
,,,x,,,x,x,x,,,,,x,6,2,4,7,,,
,,,x,,x,x,x,x,,,,,,2,0,2,2,,,
x,,,x,,x,x,,,,,,x,,2,0,2,2,,,
x,,,,,x,x,,x,,,,x,,7,2,5,6,,,
x,,,,,,,,x,,x,x,x,,6,5,1,9,,,
,,,x,,,,,,x,x,x,,x,0,2,-2,5,,,
x,,,,,,,,x,,x,x,,x,5,0,5,4,,,
x,,,,,x,,x,x,,x,,,,2,2,0,6,,,
,,,,,x,,x,x,,x,,x,,2,1,1,3,,,
,x,,,,x,,x,x,,,,x,,9,2,7,7,,,
x,,,,,x,x,,x,,,,x,,7,0,7,12,,,
x,,,,,x,,,x,,x,,x,,0,3,-3,1,,,
,,,,,,,x,x,x,x,x,,,2,0,2,4,,,
,,,x,,,,x,,x,x,x,,,4,0,4,7,,,
,,,x,,,,x,,x,,x,,x,4,0,4,6,,,
,x,,x,,,,,,x,,x,,x,2,2,0,4,,,
,x,,,,,x,,,x,,x,,x,0,0,0,1,,,
,x,,,,x,x,x,,,,,,x,2,6,-4,5,,,
,x,,,,x,,x,x,,,,x,,6,5,1,14,,,
x,,,,,,,,x,x,x,x,,,8,8,0,15,,,
,x,,,,,,x,,,x,x,,x,2,2,0,7,,,
,x,,,,,,x,,x,,x,,x,11,6,5,16,,,
x,,,,,x,x,,x,,,,x,,7,11,-4,16,,,
,,,,x,,x,,,x,,x,,x,1,1,0,4,,,
,,x,,x,,,,,x,,x,,x,0,2,-2,4,,,
x,,,,,x,x,,x,,,,x,,9,5,4,14,,,
x,,,,x,x,x,x,,,,,,,0,2,-2,1,,,
x,,x,,x,,x,x,,,,,,,0,0,0,3,,,
,,x,,x,,,x,,x,,,,x,1,2,-1,2,,,
,,,,x,,,x,,x,,x,x,,0,0,0,1,,,
,,,,x,,x,x,,,,x,x,,0,0,0,2,,,
x,,,,,x,x,,,,,x,x,,2,5,-3,5,,,
,,x,,x,,,,x,x,,,,x,0,1,-1,2,,,
,,,,,,x,,x,x,,,x,x,2,0,2,5,,,
x,,,,,x,x,,,,,x,x,,0,0,0,2,,,
x,,x,,,x,x,,,,,x,,,0,2,-2,4,,,
,,,,x,,,x,x,x,,,x,,2,0,2,4,,,
x,,,,,x,x,,x,,,,x,,9,6,3,16,,,
x,,,,x,x,,x,x,,,,,,3,2,1,2,,,
x,,,,x,x,,x,,,,x,,,0,0,0,1,,,
x,,,,x,,x,x,,,,x,,,0,2,-2,1,,,
,,,,x,,x,x,x,,,,x,,2,2,0,7,,,
x,,,,,x,x,,x,,,,,x,1,1,0,5,,,
x,,x,,,x,x,,,,,,,x,0,0,0,1,,,
,x,x,,,,x,,,,,,x,x,4,5,-1,4,,,
,x,x,,,,x,,,x,,,x,,0,2,-2,1,,,
,,x,,x,,x,,,x,,,x,,2,2,0,2,,,
,,,,x,x,x,,,x,,,x,,0,0,0,3,,,
x,,,,,x,,,x,,,,x,x,1,2,-1,4,,,
x,,,,,x,x,,x,,,,x,,0,1,-1,8,,,
x,,x,,,x,x,,x,,,,,,8,4,4,11,,,
x,,x,,,x,x,,,,,,,x,1,0,1,3,,,
x,,x,,,x,x,,x,,,,,,2,0,2,3,,,
x,,,,,x,x,,x,,,x,,,2,0,2,1,,,
x,,x,,,x,x,,x,,,,,,0,0,0,1,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
